Apartment,City,Status,Earliest Eligible Availability,Available By,Beds,Baths,Sq Ft,Rent,Price Basis,Floorplan / Unit,Specials,Deposit,Lease Terms,Review,Official Website,Listing Source,Closest Caltrain,Distance,Walk Time,Notes,Research Date,Primary Source
Stanford Villa,Palo Alto,ELIGIBLE,Now,2026-04-10,2,2,"1,000-1,050","$3,650-$4,170",Base rent,"Sequoia (Units 106 now, 140 Apr 1); Ponderosa (multiple units now)",,$800,,3.9 (5 reviews),https://www.stanfordvilla.com,https://www.apartments.com/stanford-villa-palo-alto-ca/5ezwzbq/,California Ave,not yet verified,not yet verified,"Two 2B/2B floorplans were live: Sequoia 1,000 sq ft and Ponderosa 1,050 sq ft.",2026-03-17,Apartments.com live floor plan page
Montage Apartments,Palo Alto,ELIGIBLE,Now,2026-04-10,2,2,"1,000","$4,995",Base rent,NEWLY REMODELED Upstairs 2BRx2BA,One month free with a 15-month lease and immediate move-in,"$1,000",15 months for special,4.0 (0 reviews),,https://www.apartments.com/montage-apartments-palo-alto-ca/fqckbxs/,California Ave,not yet verified,not yet verified,Single 2B/2B floorplan listed as available now.,2026-03-17,Apartments.com live floor plan page
Southwood Apartments,Palo Alto,ELIGIBLE,2026-04-10,2026-04-10,2,2,980,"$4,195",Base rent,2x2A / Unit 113,,"$1,000",,3.9 (1 review),https://www.southwood-apartments.com,https://www.apartments.com/southwood-apartments-palo-alto-ca/6f8zpmt/,California Ave,1.6 mi,not shown,"Only one 2B/2B unit was live and it becomes available on April 10, 2026.",2026-03-17,Apartments.com live floor plan page
345 Sheridan Ave Unit SI FL3-ID806,Palo Alto,ELIGIBLE,2026-03-18,2026-04-10,2,2,"1,097","$4,090 lowest advertised; $4,400 for 1-year stay",Term-dependent furnished rate,Blueground unit SI FL3-ID806,,,1-12 months,n/a on unit listing,https://www.theblueground.com,https://www.apartments.com/345-sheridan-ave-palo-alto-ca-unit-si-fl3-id806/rhckc00/,California Ave,not yet verified,not yet verified,"Furnished Blueground unit. Lowest rate depends on stay length; 1-year pricing was explicitly listed at $4,400/month.",2026-03-17,Apartments.com unit page
Sevens,Mountain View,ELIGIBLE,Now,2026-04-10,2,2,"1,021-1,240+","$5,979-$7,184",Total monthly price,"B4 (Units B-130 now, B-276 now, B-176 Mar 31, B-145 Mar 31); additional 2B/2B floorplans also listed",Up to 8 weeks free base rent,,Minimum lease term applies,5.0 (2 reviews),,https://www.apartments.com/sevens-mountain-view-ca/3rr7vmg/,Mountain View,1.3 mi,not yet verified (4 min drive),At least one 2B/2B floorplan was available now and another set by Mar 31. Apartments.com labels pricing as total monthly price.,2026-03-17,Apartments.com live floor plan page
Rowe at Pear Village,Mountain View,ELIGIBLE,2026-03-22,2026-04-10,2,2,"1,146-1,318","$5,190-$5,650",Total monthly price,"Unit 260 (1,146 sq ft, Mar 22); 2A.2 / Unit 332 (1,318 sq ft, Mar 25)",,,,4.9 (11 reviews),,https://www.apartments.com/rowe-at-pear-village-mountain-view-ca/7fyfd6x/,Mountain View,2.1 mi,not yet verified,A May 7 unit was excluded from the eligible interpretation because it misses the early-April cutoff.,2026-03-17,Apartments.com live floor plan page
Landsby,Mountain View,ELIGIBLE,Now,2026-04-10,2,2,"964-1,047","$5,618-$5,710",Total monthly price,2A-6 / Unit 1511 now; 2K-1 / Unit 3521 Mar 21; 2B-1 / Unit 3319 Mar 23,,,,4.6 (57 reviews),,https://www.apartments.com/landsby-mountain-view-ca/8mzlqg0/,San Antonio,0.2 mi,4 min,A second 2B-1 unit for May 8 was excluded from the eligible interpretation.,2026-03-17,Apartments.com live floor plan page
Verve,Mountain View,ELIGIBLE,Now,2026-04-10,2,2,"1,121-1,651","$5,139-$5,736",Base rent,B2A / Unit 322 now; B2G / Unit 410 Mar 27,,,,4.0 (0 reviews),https://www.udr.com,https://www.apartments.com/verve-mountain-view-ca/dfw92yk/,San Antonio,1.2 mi,not yet verified,Another 2B/2B unit (B2J / Unit 412) was listed for Apr 23 and excluded from the eligible interpretation.,2026-03-17,Apartments.com live floor plan page
The Shadows Apartments,Mountain View,ELIGIBLE,Now,2026-04-10,2,2,"1,025","$4,595",Base rent,E floorplan,"$1,000 off when you look and lease; water, sewer, and garbage included in rent",$800,,4.0 (0 reviews),,https://www.apartments.com/the-shadows-apartments-mountain-view-ca/ysm3jjr/,Mountain View,1.3 mi,not yet verified,The 2B/2B floorplan was listed as available now without individual unit rows on Apartments.com.,2026-03-17,Apartments.com live floor plan page
MV Apartments,Mountain View,ELIGIBLE,Now,2026-04-10,2,2,"1,013","$5,549",Base rent,Chestnut / Unit 528 now,,,,4.8 (13 reviews),,https://www.apartments.com/mv-apartments-mountain-view-ca/tlm9sdb/,San Antonio,0.7 mi,14 min,A second Chestnut unit for Apr 14 was excluded from the eligible interpretation because it is after the cutoff.,2026-03-17,Apartments.com live floor plan page
Maplewood Apartments,Mountain View,ELIGIBLE,Now,2026-04-10,2,2,947,"$3,700-$3,800",Base rent,Plan B1 / Unit 29 now; Unit 31 Apr 7,Up to 1 month on us,$600,,4.0 (0 reviews),,https://www.apartments.com/maplewood-apartments-mountain-view-ca/0h511d1/,San Antonio,1.3 mi,not yet verified,Two 2B/2B units were live and both meet the early-April cutoff.,2026-03-17,Apartments.com live floor plan page
Hartwood,Sunnyvale,ELIGIBLE,Now,2026-04-10,2,2,"1,223","$5,200-$5,515",Base rent,2 Bed/2 Bath-B5 / Unit 2109 now; Unit 2402 Apr 5; Unit 1307 Apr 7,Exceptional leasing specials available for a limited time,,,4.0 (0 reviews),,https://www.apartments.com/hartwood-sunnyvale-ca/nzqhytq/,Lawrence,0.1 mi,1 min,Other 2B/2B floorplans were listed but marked not available; B5 is the live qualifying option.,2026-03-17,Apartments.com live floor plan page
Savoy,Sunnyvale,ELIGIBLE,Now,2026-04-10,2,2,"1,228-1,344","$4,946-$5,108",Total monthly price,B5.4 / Unit 1-415 now; B5 / Unit 2-550 Mar 24; B7 / Unit 2-321 Apr 8,,$600,,4.4 (98 reviews),,https://www.apartments.com/savoy-sunnyvale-ca/wz9c7ck/,Lawrence,0.6 mi,12 min,A B5 unit for Apr 23 and a B2 unit for Apr 29 were excluded from the eligible interpretation.,2026-03-17,Apartments.com live floor plan page
Encasa,Sunnyvale,ELIGIBLE,2026-03-24,2026-04-10,2,2,"1,175","$4,855",Total monthly price,2x2e / Unit 7423,,,,4.2 (24 reviews),,https://www.apartments.com/encasa-sunnyvale-ca/s1ktnb6/,Lawrence,3.0 mi,not yet verified,Only one live 2B/2B unit met the cutoff; the rest of the 2B/2B plans were not available.,2026-03-17,Apartments.com live floor plan page
Naya,Sunnyvale,ELIGIBLE,2026-03-19,2026-04-10,2,2,"1,013","$4,789",Total monthly price,Floor Plan C / Unit 303,,,,4.8 (25 reviews),,https://www.apartments.com/naya-sunnyvale-ca/prdh34v/,Sunnyvale,2.0 mi,not yet verified,A second 2B/2B plan (Floor Plan E / Unit 302) was listed for Apr 12 and excluded from the eligible interpretation.,2026-03-17,Apartments.com live floor plan page
Redwood Place Apartment Homes,Sunnyvale,ELIGIBLE,2026-03-25,2026-04-10,2,2,"944-1,214","$4,660-$6,425",Base rent,Plan 15 / Unit 124 Apr 9; Plan 40 / Unit 1131 Apr 5; Plan 48 / Unit 0960 Apr 9,,Varies by floorplan,,4.7 (4 reviews),,https://www.apartments.com/redwood-place-apartment-homes-sunnyvale-ca/f5mc4nv/,Lawrence,1.6 mi,not yet verified,Plan 15 / Unit 300 for Apr 24 was excluded from the eligible interpretation.,2026-03-17,Apartments.com live floor plan page
The Meadows Apartments,Sunnyvale,ELIGIBLE,Now,2026-04-10,2,2,915,"$4,100-$4,170",Base rent,B2 and B1 floorplans,,,Short-term lease available,4.8 (6 reviews),https://www.the-meadows.com,https://www.apartments.com/the-meadows-apartments-sunnyvale-ca/4fzr7tk/,Sunnyvale,1.4 mi,not yet verified,"Both 2B/2B floorplans were listed as available now; utilities included in listing page include gas, water, heat, trash, sewer, and air conditioning.",2026-03-17,Apartments.com live floor plan page
Heritage Park,Sunnyvale,ELIGIBLE,Now,2026-04-10,2,2,920,"$3,280-$4,460",Base rent,"2x2 / Units 309E now, 1406E now, 1107W now, 409E Apr 8",,,1-12 months,4.5 (11 reviews),https://www.liveatheritageparkapts.com,https://www.apartments.com/heritage-park-sunnyvale-ca/h2ctem3/,Sunnyvale,0.7 mi,13 min,A 2x2 unit for Apr 12 was excluded from the eligible interpretation.,2026-03-17,Apartments.com live floor plan page
